/uFEFFID;produtoID;nomeProduto;quantidade;precoUnitario;total;dataVenda;clienteNome;clienteEmail;clienteTelefone
1779917191564;1779915205591;"Cano pequeno";3;30.00;90;Wed May 27 2026 18:26:31 GMT-0300 (Brasilia Standard Time);"olivia@outlook.com";"olivia@gmail.com";"6578765645"
1779917208338;1779915282944;"Cano Medio";6;20.00;120;Wed May 27 2026 18:26:48 GMT-0300 (Brasilia Standard Time);"COMPUTADOR VÍTOR";"marques.vitor10@outlook.com";"53991778511"
1779917238479;1779915340560;"Cano Grande";4;19.00;76;Wed May 27 2026 18:27:18 GMT-0300 (Brasilia Standard Time);"josmar";"josmar@gmail.com";"5323432345"
1779917276292;1779915409418;"Cano Medio";5;19.00;95;Wed May 27 2026 18:27:56 GMT-0300 (Brasilia Standard Time);"wesley";"kkkwesley@hotmail.com";"7648958477"
1779917312214;1779915459265;"Cano Grande";8;18.00;144;Wed May 27 2026 18:28:32 GMT-0300 (Brasilia Standard Time);"Yago Fernando";"yagofefe@outrlook.com";"6789587443"
1779917367998;1779915477875;"Cano pequeno";2;23.00;46;Wed May 27 2026 18:29:27 GMT-0300 (Brasilia Standard Time);"Yamandes Fiorentino";"yamandes@gmail.com";"6556655555"
1779917413301;1779915535645;"Cano Quadrado";4;22.00;88;Wed May 27 2026 18:30:13 GMT-0300 (Brasilia Standard Time);"valdivia";"valdivi@hotmail.com";"5398888855"
1779917457678;1779915723315;"Cano quadrado";7;24.00;168;Wed May 27 2026 18:30:57 GMT-0300 (Brasilia Standard Time);"frederio Richter";"richtersfred@outlook.com";"5698866888"
1779917490268;1779915763016;"Cano quadrado 5mm de espessura";3;19.00;57;Wed May 27 2026 18:31:30 GMT-0300 (Brasilia Standard Time);"humberto";"humberto@outlook.com";"5489978576"
1779917521722;1779915810479;"Metalon fino";3;25.00;75;Wed May 27 2026 18:32:01 GMT-0300 (Brasilia Standard Time);"Roberto";"roberto@outlook.com";"5789987845"
